Label (Grouping),Median value --!!Total:!!Moved in 2019 or later,Median value --!!Total:!!Moved in 2015 to 2018,Median value --!!Total:!!Moved in 2010 to 2014,Median value --!!Total:!!Moved in 2000 to 2009
    Estimate,-,"262,500","264,300","330,700"
    Margin of Error,**,"±67,081","±43,688","±85,507"
ZCTA5 68025,,,,
    Estimate,"172,700","173,300","143,500","139,800"
    Margin of Error,"±18,192","±22,363","±12,726","±9,430"
ZCTA5 68028,,,,
    Estimate,"301,000","295,100","311,200","253,600"
    Margin of Error,"±48,537","±26,357","±24,952","±28,939"
ZCTA5 68029,,,,
    Estimate,-,"131,300","90,000","201,100"
    Margin of Error,**,"±16,895","±60,963","±108,192"
ZCTA5 68030,,,,
    Estimate,"206,300","137,500","85,000","210,300"
    Margin of Error,"±44,791","±42,910","±47,654","±106,335"
ZCTA5 68031,,,,
    Estimate,-,"139,700","95,800","164,600"
    Margin of Error,**,"±26,088","±7,420","±15,959"
ZCTA5 68033,,,,
    Estimate,-,-,"311,100","164,300"
    Margin of Error,**,**,"±87,801","±68,762"
ZCTA5 68034,,,,
    Estimate,-,"142,200","116,100","100,000"
    Margin of Error,**,"±63,214","±22,292","±71,914"
ZCTA5 68036,,,,
    Estimate,-,-,-,"10,000-"
    Margin of Error,**,**,**,***
ZCTA5 68037,,,,
    Estimate,"233,800","287,500","259,100","275,000"
    Margin of Error,"±89,407","±130,654","±111,343","±73,801"
ZCTA5 68038,,,,
    Estimate,-,"86,100","106,300","57,600"
    Margin of Error,**,"±52,033","±31,514","±15,027"
ZCTA5 68039,,,,
    Estimate,-,-,-,"84,000"
    Margin of Error,**,**,**,"±31,153"
ZCTA5 68040,,,,
    Estimate,-,"100,000","187,500","161,500"
    Margin of Error,**,"±15,839","±35,904","±33,323"
ZCTA5 68041,,,,
    Estimate,-,"188,600","141,400","149,000"
    Margin of Error,**,"±9,814","±31,191","±19,359"
ZCTA5 68042,,,,
    Estimate,-,-,-,"153,100"
    Margin of Error,**,**,**,"±107,618"
ZCTA5 68044,,,,
    Estimate,-,"10,000-",-,"67,700"
    Margin of Error,**,***,**,"±66,845"
ZCTA5 68045,,,,
    Estimate,-,"63,300","142,900","109,400"
    Margin of Error,**,"±62,407","±35,839","±54,509"
ZCTA5 68046,,,,
    Estimate,"347,700","269,700","243,800","238,000"
    Margin of Error,"±143,860","±26,259","±23,909","±10,072"
ZCTA5 68047,,,,
    Estimate,-,"107,800","155,600","148,200"
    Margin of Error,**,"±49,272","±57,454","±64,748"
ZCTA5 68048,,,,
    Estimate,"147,900","222,400","172,600","211,100"
    Margin of Error,"±58,295","±17,254","±31,035","±26,454"
ZCTA5 68050,,,,
    Estimate,-,"57,200",-,"240,300"
    Margin of Error,**,"±27,905",**,"±201,978"
ZCTA5 68055,,,,
    Estimate,-,-,"75,000","57,900"
    Margin of Error,**,**,"±64,532","±8,938"
ZCTA5 68057,,,,
    Estimate,-,"92,500","88,800","79,200"
    Margin of Error,**,"±32,850","±34,535","±29,603"
ZCTA5 68058,,,,
    Estimate,-,-,"320,000","429,800"
    Margin of Error,**,**,"±228,701","±57,471"
ZCTA5 68059,,,,
    Estimate,"348,600","259,400","244,400","274,000"
    Margin of Error,"±27,454","±142,292","±68,611","±74,479"
ZCTA5 68061,,,,
    Estimate,-,"134,700","113,600","110,900"
    Margin of Error,**,"±13,465","±16,034","±13,214"
ZCTA5 68062,,,,
    Estimate,-,"96,700",-,"143,800"
    Margin of Error,**,"±17,083",**,"±108,605"
ZCTA5 68063,,,,
    Estimate,-,"104,700","125,000","75,000"
    Margin of Error,**,"±46,333","±51,452","±20,123"
ZCTA5 68064,,,,
    Estimate,-,"380,000","438,600","146,200"
    Margin of Error,**,"±287,520","±99,630","±115,809"
ZCTA5 68065,,,,
    Estimate,-,"146,200","88,500","255,400"
    Margin of Error,**,"±43,022","±47,895","±123,217"
ZCTA5 68066,,,,
    Estimate,"257,500","160,800","181,300","162,900"
    Margin of Error,"±202,150","±23,176","±42,221","±8,547"
ZCTA5 68067,,,,
    Estimate,-,-,-,"33,300"
    Margin of Error,**,**,**,"±22,780"
ZCTA5 68068,,,,
    Estimate,-,"98,900","179,200",-
    Margin of Error,**,"±73,252","±17,953",**
ZCTA5 68069,,,,
    Estimate,-,"225,000","278,300","236,500"
    Margin of Error,**,"±140,383","±24,041","±33,708"
ZCTA5 68070,,,,
    Estimate,-,"585,600","143,800",-
    Margin of Error,**,"±99,675","±140,270",**
ZCTA5 68071,,,,
    Estimate,-,"202,800","97,500","55,000"
    Margin of Error,**,"±136,079","±18,858","±49,464"
ZCTA5 68072,,,,
    Estimate,-,-,-,"65,000"
    Margin of Error,**,**,**,"±13,301"
ZCTA5 68073,,,,
    Estimate,-,"166,700","332,100","325,600"
    Margin of Error,**,"±38,707","±69,988","±48,730"
ZCTA5 68102,,,,
    Estimate,-,"339,000",-,"164,000"
    Margin of Error,**,"±36,868",**,"±58,425"
ZCTA5 68104,,,,
    Estimate,"144,200","122,800","117,700","113,400"
    Margin of Error,"±10,466","±11,652","±6,541","±8,912"
ZCTA5 68105,,,,
    Estimate,"132,400","139,800","150,300","119,500"
    Margin of Error,"±57,714","±8,830","±24,181","±8,669"
ZCTA5 68106,,,,
    Estimate,"143,800","169,800","139,200","146,400"
    Margin of Error,"±40,592","±17,257","±7,552","±14,307"
ZCTA5 68107,,,,
    Estimate,"91,200","132,400","90,600","89,700"
    Margin of Error,"±48,092","±5,369","±10,477","±5,711"
ZCTA5 68108,,,,
    Estimate,"166,400","97,600","108,600","96,300"
    Margin of Error,"±112,904","±10,490","±20,797","±12,960"
ZCTA5 68110,,,,
    Estimate,-,"66,500","84,600","67,300"
    Margin of Error,**,"±12,879","±20,744","±3,837"
ZCTA5 68111,,,,
    Estimate,"93,600","69,800","59,000","78,800"
    Margin of Error,"±42,696","±20,973","±6,265","±8,633"
ZCTA5 68112,,,,
    Estimate,"134,600","99,500","110,200","104,600"
    Margin of Error,"±19,773","±9,153","±28,896","±6,484"
ZCTA5 68113,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 68114,,,,
    Estimate,"325,600","222,200","206,300","224,500"
    Margin of Error,"±244,251","±89,919","±44,999","±83,535"
ZCTA5 68116,,,,
    Estimate,"233,000","238,700","254,500","232,300"
    Margin of Error,"±19,608","±10,507","±17,301","±11,091"
ZCTA5 68117,,,,
    Estimate,-,"134,800","136,000","117,900"
    Margin of Error,**,"±16,643","±15,882","±10,530"
ZCTA5 68118,,,,
    Estimate,"371,200","291,700","295,300","276,000"
    Margin of Error,"±158,122","±18,380","±22,141","±13,141"
ZCTA5 68122,,,,
    Estimate,"193,800","181,800","163,400","157,500"
    Margin of Error,"±20,986","±6,481","±18,228","±9,437"
ZCTA5 68123,,,,
    Estimate,"215,600","213,800","225,500","202,700"
    Margin of Error,"±33,903","±13,794","±9,152","±13,123"
ZCTA5 68124,,,,
    Estimate,-,"237,600","211,300","228,600"
    Margin of Error,**,"±29,619","±80,623","±28,723"
ZCTA5 68127,,,,
    Estimate,"242,200","170,900","169,400","164,700"
    Margin of Error,"±171,362","±13,670","±16,212","±10,882"
ZCTA5 68128,,,,
    Estimate,"219,900","230,900","192,300","237,300"
    Margin of Error,"±26,311","±36,717","±52,804","±13,310"
ZCTA5 68130,,,,
    Estimate,"372,300","288,200","331,900","307,300"
    Margin of Error,"±75,594","±36,538","±22,523","±24,466"
ZCTA5 68131,,,,
    Estimate,-,"237,700","132,900","115,500"
    Margin of Error,**,"±44,268","±19,544","±42,648"
ZCTA5 68132,,,,
    Estimate,"411,900","260,400","248,100","241,100"
    Margin of Error,"±74,304","±100,802","±52,127","±86,531"
ZCTA5 68133,,,,
    Estimate,-,"257,500","290,100","302,900"
    Margin of Error,**,"±18,460","±45,950","±28,982"
ZCTA5 68134,,,,
    Estimate,"167,900","173,200","146,500","147,600"
    Margin of Error,"±38,109","±12,278","±6,913","±5,170"
ZCTA5 68135,,,,
    Estimate,"309,200","237,100","254,500","246,200"
    Margin of Error,"±46,172","±18,310","±16,896","±11,983"
ZCTA5 68136,,,,
    Estimate,"264,500","272,500","243,300","252,000"
    Margin of Error,"±61,818","±14,942","±17,558","±18,880"
ZCTA5 68137,,,,
    Estimate,"197,200","180,700","158,100","163,400"
    Margin of Error,"±163,849","±12,637","±6,455","±4,272"
ZCTA5 68138,,,,
    Estimate,-,"178,000","171,300","157,600"
    Margin of Error,**,"±20,202","±13,521","±10,558"
ZCTA5 68142,,,,
    Estimate,-,"232,000","218,500",-
    Margin of Error,**,"±19,566","±31,203",**
ZCTA5 68144,,,,
    Estimate,-,"212,700","184,500","173,300"
    Margin of Error,**,"±9,799","±20,163","±7,791"
ZCTA5 68147,,,,
    Estimate,-,"166,000","167,400","122,200"
    Margin of Error,**,"±16,368","±27,733","±10,294"
ZCTA5 68152,,,,
    Estimate,"353,600","218,200","208,000","231,100"
    Margin of Error,"±128,628","±56,194","±80,898","±59,349"
ZCTA5 68154,,,,
    Estimate,"219,300","239,000","233,000","229,900"
    Margin of Error,"±48,562","±16,198","±10,598","±7,834"
ZCTA5 68157,,,,
    Estimate,-,"152,300","207,400","167,700"
    Margin of Error,**,"±65,211","±37,223","±21,601"
ZCTA5 68164,,,,
    Estimate,"201,000","170,800","182,400","174,200"
    Margin of Error,"±29,783","±5,399","±12,623","±8,895"
ZCTA5 68178,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 68301,,,,
    Estimate,-,"169,500","252,100","320,600"
    Margin of Error,**,"±27,145","±98,644","±114,570"
ZCTA5 68303,,,,
    Estimate,-,-,-,"264,300"
    Margin of Error,**,**,**,"±190,280"
ZCTA5 68304,,,,
    Estimate,-,"95,000","223,600","166,100"
    Margin of Error,**,"±55,457","±5,292","±32,437"
ZCTA5 68305,,,,
    Estimate,-,-,"120,100","134,800"
    Margin of Error,**,**,"±32,882","±52,709"
ZCTA5 68307,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 68309,,,,
    Estimate,-,-,"64,400",-
    Margin of Error,**,**,"±3,554",**
ZCTA5 68310,,,,
    Estimate,"79,200","137,400","136,400","129,100"
    Margin of Error,"±35,708","±16,302","±51,434","±17,805"
ZCTA5 68313,,,,
    Estimate,-,"151,300","85,000","256,500"
    Margin of Error,**,"±72,379","±29,295","±128,229"
ZCTA5 68314,,,,
    Estimate,-,"128,100",-,-
    Margin of Error,**,"±26,772",**,**
ZCTA5 68315,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 68316,,,,
    Estimate,-,"328,600","83,100","117,500"
    Margin of Error,**,"±168,545","±6,592","±112,533"
ZCTA5 68317,,,,
    Estimate,"208,300","236,200","261,700","193,800"
    Margin of Error,"±30,126","±36,535","±27,956","±71,444"
ZCTA5 68318,,,,
    Estimate,-,"81,000","57,000","60,000"
    Margin of Error,**,"±31,953","±38,074","±43,635"
ZCTA5 68319,,,,
    Estimate,-,"124,000","158,300","95,000"
    Margin of Error,**,"±56,079","±74,374","±59,645"
ZCTA5 68320,,,,
    Estimate,-,"82,000","273,200",-
    Margin of Error,**,"±29,697","±27,263",**
ZCTA5 68321,,,,
    Estimate,-,"193,800",-,"160,600"
    Margin of Error,**,"±34,400",**,"±153,645"
ZCTA5 68322,,,,
    Estimate,-,-,"57,700",-
    Margin of Error,**,**,"±42,986",**
ZCTA5 68323,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 68324,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 68325,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 68326,,,,
    Estimate,-,-,-,"75,500"
    Margin of Error,**,**,**,"±36,224"
ZCTA5 68327,,,,
    Estimate,-,"55,000","32,900","65,500"
    Margin of Error,**,"±7,452","±13,751","±5,528"
ZCTA5 68328,,,,
    Estimate,-,"106,300","85,000","136,100"
    Margin of Error,**,"±22,616","±5,144","±84,972"
ZCTA5 68329,,,,
    Estimate,-,"87,500","74,000","76,800"
    Margin of Error,**,"±51,787","±10,709","±6,217"
ZCTA5 68331,,,,
    Estimate,-,-,"241,700","211,100"
    Margin of Error,**,**,"±210,965","±88,306"
ZCTA5 68332,,,,
    Estimate,-,-,-,"56,000"
    Margin of Error,**,**,**,"±49,729"
ZCTA5 68333,,,,
    Estimate,-,"174,500","86,000","129,200"
    Margin of Error,**,"±70,564","±59,158","±28,719"
ZCTA5 68335,,,,
    Estimate,-,"71,900","38,600","75,000"
    Margin of Error,**,"±31,240","±5,386","±23,634"
ZCTA5 68336,,,,
    Estimate,-,"374,200","304,200",-
    Margin of Error,**,"±213,668","±263,239",**
ZCTA5 68337,,,,
    Estimate,-,-,"86,000","75,600"
    Margin of Error,**,**,"±56,332","±5,040"
ZCTA5 68338,,,,
    Estimate,-,"80,000",-,"207,500"
    Margin of Error,**,"±21,484",**,"±82,923"
ZCTA5 68339,,,,
    Estimate,-,"325,000","273,600","367,600"
    Margin of Error,**,"±198,323","±47,334","±77,783"
ZCTA5 68340,,,,
    Estimate,-,"87,900","58,300","61,900"
    Margin of Error,**,"±68,117","±5,391","±14,158"
ZCTA5 68341,,,,
    Estimate,-,"157,800","252,500","87,000"
    Margin of Error,**,"±74,453","±208,092","±25,067"
ZCTA5 68342,,,,
    Estimate,-,"94,300","150,000","132,100"
    Margin of Error,**,"±54,089","±53,593","±32,077"
ZCTA5 68343,,,,
    Estimate,"137,500","137,500","75,000","98,600"
    Margin of Error,"±56,387","±55,199","±71,018","±43,803"
ZCTA5 68344,,,,
    Estimate,-,"88,300",-,"190,000"
    Margin of Error,**,"±74,802",**,"±33,496"
ZCTA5 68345,,,,
    Estimate,-,-,"47,000","66,000"
    Margin of Error,**,**,"±5,706","±52,474"
ZCTA5 68346,,,,
    Estimate,-,-,"221,100","80,000"
    Margin of Error,**,**,"±8,430","±51,089"
ZCTA5 68347,,,,
    Estimate,-,"204,500","322,400","304,400"
    Margin of Error,**,"±141,038","±165,481","±44,865"
ZCTA5 68348,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 68349,,,,
    Estimate,"133,900","197,700","238,300","200,000"
    Margin of Error,"±8,788","±34,371","±152,073","±118,220"
ZCTA5 68350,,,,
    Estimate,-,"65,300",-,"52,500"
    Margin of Error,**,"±2,544",**,"±38,000"
ZCTA5 68351,,,,
    Estimate,-,"75,600","74,700","180,400"
    Margin of Error,**,"±15,845","±6,272","±92,856"
ZCTA5 68352,,,,
    Estimate,-,"87,100","80,600","118,400"
    Margin of Error,**,"±35,818","±32,091","±29,161"
ZCTA5 68354,,,,
    Estimate,-,"52,500","106,300","68,300"
    Margin of Error,**,"±8,878","±22,976","±50,698"
ZCTA5 68355,,,,
    Estimate,-,"52,900","58,100","85,400"
    Margin of Error,**,"±29,461","±17,609","±45,360"
ZCTA5 68357,,,,
    Estimate,-,-,-,"200,000"
    Margin of Error,**,**,**,"±100,947"
ZCTA5 68358,,,,
    Estimate,"235,000","211,400","426,600","316,100"
    Margin of Error,"±55,489","±28,996","±144,004","±37,707"
ZCTA5 68359,,,,
    Estimate,-,"145,800","163,500","126,900"
    Margin of Error,**,"±87,252","±7,178","±39,654"
ZCTA5 68360,,,,
    Estimate,-,"273,100",-,"137,500"
    Margin of Error,**,"±21,666",**,"±18,351"
ZCTA5 68361,,,,
    Estimate,-,"135,900","150,000","151,100"
    Margin of Error,**,"±13,616","±63,791","±123,913"
ZCTA5 68362,,,,
    Estimate,-,-,"46,000",-
    Margin of Error,**,**,"±11,068",**
ZCTA5 68364,,,,
    Estimate,-,"106,300","116,300",-
    Margin of Error,**,"±36,463","±36,265",**
ZCTA5 68365,,,,
    Estimate,-,-,"155,700","38,800"
    Margin of Error,**,**,"±127,212","±26,527"
ZCTA5 68366,,,,
    Estimate,-,"124,500",-,"150,000"
    Margin of Error,**,"±77,301",**,"±31,812"
ZCTA5 68367,,,,
    Estimate,-,"74,400","60,700",-
    Margin of Error,**,"±26,550","±24,647",**
ZCTA5 68368,,,,
    Estimate,-,"215,000","269,000","273,100"
    Margin of Error,**,"±13,962","±60,297","±75,366"
ZCTA5 68370,,,,
    Estimate,-,"157,800","95,900","94,600"
    Margin of Error,**,"±93,649","±7,150","±14,731"
ZCTA5 68371,,,,
    Estimate,-,"127,800",-,"176,400"
    Margin of Error,**,"±22,208",**,"±60,683"
ZCTA5 68372,,,,
    Estimate,"370,500","281,400","303,900","227,800"
    Margin of Error,"±53,224","±38,135","±96,767","±37,522"
ZCTA5 68375,,,,
    Estimate,-,-,-,"13,000"
    Margin of Error,**,**,**,"±7,085"
ZCTA5 68376,,,,
    Estimate,-,"184,400","70,000",-
    Margin of Error,**,"±172,052","±32,612",**
ZCTA5 68377,,,,
    Estimate,-,"212,500",-,-
    Margin of Error,**,"±136,383",**,**
ZCTA5 68378,,,,
    Estimate,"107,500","83,000","225,000","122,700"
    Margin of Error,"±72,284","±65,407","±162,973","±17,853"
ZCTA5 68379,,,,
    Estimate,-,-,-,"85,000"
    Margin of Error,**,**,**,"±39,153"
ZCTA5 68380,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 68381,,,,
    Estimate,-,-,"32,500",-
    Margin of Error,**,**,"±30,969",**
ZCTA5 68382,,,,
    Estimate,-,-,-,"106,300"
    Margin of Error,**,**,**,"±66,106"
ZCTA5 68401,,,,
    Estimate,-,"116,300",-,"165,600"
    Margin of Error,**,"±2,976",**,"±39,390"
ZCTA5 68402,,,,
    Estimate,-,"237,500","185,600","346,400"
    Margin of Error,**,"±80,971","±57,335","±47,769"
ZCTA5 68403,,,,
    Estimate,-,"142,900",-,"316,700"
    Margin of Error,**,"±14,291",**,"±198,740"
ZCTA5 68404,,,,
    Estimate,-,-,"275,000","321,700"
    Margin of Error,**,**,"±20,323","±187,718"
ZCTA5 68405,,,,
    Estimate,"185,500","156,500","173,700","189,300"
    Margin of Error,"±15,510","±26,161","±16,196","±52,028"
